authors,title,event_name,date,kind
"Shunsuke Kurosawa, Akihiro Yamaji, Daisuke Matsukura, Chihaya Fujiwara, Akira Yoshikawa",Development of a High Dose Rate Real-Time Monitor with Cr-doped Éø-Al2O3 eutectic scintillator Al2O3 Eutectic Scintillator,Directionally Solidified Eutectics Conference-VII,2023,International Conference
"Shunsuke Kurosawa, Shohei Kodama, Chihaya Fujiwara, Daisuke Matsukura, Akihiro Yamaji, Takushi Takata, Hiroki Tanaka",Development of Novel Red and Infrared Emitting Scintillation Materials and Dose-Rate Monitoring System with an Optical Fiber,2023 IEEE Nuclear Science Symposium and Medical Imaging Conference,2023,International Conference
"Daisuke Matsukura, Shunsuke Kurosawa, Chihaya Fujiwara, Akihiro Yamaji, Yuji Ohashi, Yuui Yokota, Kei Kamada, Hiroki Sato, Masao Yoshino, Takashi Hanada, Rikito Murakami, Takahiko Horiai, Akira Yoshikawa, Takushi Takata, Hiroki Tanaka",Feasibility Study of One-Dimensional Imaging with an Optical Fiber for Radiation Dose-Rate Monitoring System in the Decommissioning Process,24th International Workshop on 142 éQçlï∂å£ Radiation Imaging Detectors,2023,International Conference
"Daisuke Matsukura, Shunsuke Kurosawa, Chihaya Fujiwara, Akihiro Yamaji, Yuji Ohashi, Yuui Yokota, Kei Kamada, Hiroki Sato, Masao Yoshino, Takashi Hanada, Rikito Murakami, Takahiko Horiai, Akira Yoshikawa",Relationship of Single Crystal Growth and Luminescence Properties of Garnet-type Single Crystals for Radiation Dose-Rate Monitoring Systems,20th International Conference on Crystal Growth and Epitaxy,2023,International Conference
"Daisuke Matsukura, Shunsuke Kurosawa, Chihaya Fujiwara, Akihiro Yamaji, Yuji Ohashi, Yuui Yokota, Kei Kamada, Hiroki Sato, Masao Yoshino, Takashi Hanada, Rikito Murakami, Takahiko Horiai, Akira Yoshikawa, Takushi Takata, Hiroki Tanaka","Demonstration of Dose Rate Monitoring System with Garnet-Type ScintillatorsÅh, 9th International Symposium on Optical Materials",9th International Symposium on Optical Materials,2023,International Conference
"Shunsuke Kurosawa, Shohei Kodama, Chihaya Fujiwara",Optical properties for Red and Infrared Emitting Scintillators Containing a Novel Emission Center,International Congress on Pure & Applied Chemistry Kota Kinabalu 2022 (ICPAC KK 2022),2022-11,International Conference
"Chihaya. Fujiwara, Shunsuke. Kurosawa, Akihiro. Yamaji, Hiroki. Takana, Yuji. Ohashi, Yuui. Yokota, Kei. Kamata, Hiroki. Sato, Satoshi. Toyoda, Masao. Yoshino, Takashi. Hanada, Rikito. Murakami, Takahiro. Horiai, Akira. Yoshikawa",Li2HfBr6 Scintillator with Long Emission Wavelength for Neutron/Gamma Dual Detect,"2022 IEEE Nuclear Science Symposium, Medical Imaging Conference and Room Temperature Semiconductor Detector Conference",2022-11,International Conference
"Chihaya. Fujiwara, Shunsuke. Kurosawa, Akihiro. Yamaji, Yuji. Ohash, Yuui. Yokota, Kei. Kamata, Hiroki. Sato, Satoshi. Toyoda, Masao. Yoshino, Takashi. Hanada, Rikito. Murakami, Takahiro. Horiai, Akira. Yoshikawa","Novel Li2HfX6 (X =Cl, Br, I) Scintillator for Neutron Detection",16th International Conference on Scintillating Materials & their Applications,2022-09,International Conference
"Shunsuke Kurosawa, Shohei Kodama, Akihiro Yamaji, Chihaya Fujiwara, Daisuke Matsukura",Developement of Real-Time Dose Fiber-Monitor with Red-Scintillator,The 6th International Forum on the Decommissioning of the Fukushima Daiichi Nuclear Power Station,2022-08,International Conference
"Shunsuke Kurosawa, Chihaya Fujiwara, Shohei Kodama, Daisuke Matsukura, Ai Kaminaka, Maki Ohno, Takushi Takata, Hiroki Tanaka, Akihiro Yamaji",ÅgDevelopment of Optical Materials and Its Evaluation for the Radiation Dose-Rate Monitor under UltraHigh Dose-Rate,the 7th Fukushima Daiichi Decommissioning International Forum in 2023,2022,International Conference
"Daisuke Matsukura, Shunsuke Kurosawa, Vladimir Kochurikhin, Shohei Kodama, Chihaya Fujiwara, Akihiro Yamaji, Yuji Ohashi, Yuui Yokota, Kei Kamada, Hiroki Sato, Satoshi, Toyoda, Masao Yoshino, Takashi Hanada, Rikito Murakami, Takahiko Horiai, Akira, Yoshikawa",Development of Nd-Doped Y3Al5O12 Oxide-Scintillators for the Decommissioning Monitoring System,16th International Conference on Scintillating Materials & their Applications,2022,International Conference
"Chihaya Fujiwara, Shohei Kodama, Shunsuke Kurosawa, Akihiro Yamaji, Yuji Ohashi, Yuui Yokota, Kei Kamata, Hiroki Sato, Satoshi Toyoda, Masao Yoshino, Takashi Hanada, Akira Yoshikawa",Scintillation properties for Cs2HfBr6-based crystals,2021 VIRTUAL IEEE NUCLEAR SCIENCE SYMPOSIUM AND MEDICAL IMAGING CONFERENCE,2021-10,International Conference
"Chihaya Fujiwara, Shunsuke Kurosawa, Akihiro Yamaji, Satoshi Ishizawa, Yuji Ohashi, Yuui Yokota, Kei Kamata, Hiroki Sato, Satoshi Toyoda, Masao Yoshino, Takashi Hanada, Akira Yoshikaw",Luminescent Properties for Garnet-Type Crystals with Fast Decay Time and Red Emission Band,2021 International Conference on Solid State Devices and Materials,2021-09,International Conference
"Chihaya. Fujiwara, Shohei. Kodama, Shunsuke. Kurosawa, Akihiro. Yamaji, Yuji. Ohashi, Yuui. Yokota, Kei. Kamata, Hiroki. Sato, Satoshi. Toyoda, Masao. Yoshino, Takashi. Hanada, Akira. Yoshikaw","Scintillation Properties for Cs2Hf(I, Br)6 with Red Emission for Real-Time High Dose Rate Monitor",11th International Conference on Luminescent Detectors and Transformers of Ionizing Radiation,2021-09,International Conference
"Daisuke Matsukura, Shunsuke Kurosawa, Chihaya Fujiwara, Akihiro Yamaji, Yuji Ohashi, Yuui Yokota, Kei Kamada, Hiroki Sato, Satoshi Toyoda, Masao Yoshino, Takashi Hanada, Rikito Murakami, Takahiko Horiai, Akira Yoshikawa",Composition Optimization using Sintered Ce/Cr co-doped Red Oxide Scintillator for Dose-rate Monitoring System for the Decommissioning of Nuclear Power Plant,The International Conference on Sintering 2023,,International Conference
